run,model,harness,task,status,reward,agent_sec,trial_sec,uncached_input,cache_read,cache_write,output,reasoning_output,total_tokens,api_calls,cost_usd,cost_source,notes
GPT-5.6 Sol high / Codex,GPT-5.6 Sol,Codex,01 Icy Waters,success,1.0,224.0,264.5,13229,54861,0,10016,9586,78106,6,0.3940555,computed from de-duplicated per-call usage,Codex cumulative token_count events; cached input is a subset of input
GPT-5.6 Sol high / Codex,GPT-5.6 Sol,Codex,02 Turns,success,1.0,722.2,743.0,33029,720629,0,28269,26099,781927,35,1.3735295,computed from de-duplicated per-call usage,Codex cumulative token_count events; cached input is a subset of input
GPT-5.6 Sol high / Codex,GPT-5.6 Sol,Codex,03 Affection,success,1.0,181.4,200.9,15524,125737,0,7605,6868,148866,11,0.3686385,computed from de-duplicated per-call usage,Codex cumulative token_count events; cached input is a subset of input
GPT-5.6 Sol high / Codex,GPT-5.6 Sol,Codex,04 Pillar Yard,success,1.0,3309.6,3329.2,57415,1639348,0,138764,134160,1835527,53,5.2696690,computed from de-duplicated per-call usage,Codex cumulative token_count events; cached input is a subset of input
GPT-5.6 Sol high / Codex,GPT-5.6 Sol,Codex,05 Brick Wall,success,1.0,108.9,127.6,13037,41619,0,5166,4740,59822,5,0.2409745,computed from de-duplicated per-call usage,Codex cumulative token_count events; cached input is a subset of input
GPT-5.6 Sol high / Codex,GPT-5.6 Sol,Codex,06 Lock,success,1.0,619.2,649.0,34451,777117,0,26465,23376,838033,37,1.3547635,computed from de-duplicated per-call usage,Codex cumulative token_count events; cached input is a subset of input
GPT-5.6 Sol high / Codex,GPT-5.6 Sol,Codex,07 Novice Locksmith,success,1.0,135.6,188.2,14886,107738,0,5890,5231,128514,10,0.3049990,computed from de-duplicated per-call usage,Codex cumulative token_count events; cached input is a subset of input
GPT-5.6 Sol high / Codex,GPT-5.6 Sol,Codex,08 Locked In,success,1.0,143.7,185.4,16395,98147,0,6846,6160,121388,9,0.3364285,computed from de-duplicated per-call usage,Codex cumulative token_count events; cached input is a subset of input
GPT-5.6 Sol high / Codex,GPT-5.6 Sol,Codex,10 Two Doors,success,1.0,2929.2,2952.4,113019,3842418,0,122721,117117,4078158,67,6.1679340,computed from de-duplicated per-call usage,Codex cumulative token_count events; cached input is a subset of input
GPT-5.6 Sol high / Codex,GPT-5.6 Sol,Codex,11 Jelly Throne,success,1.0,406.5,430.0,23062,231692,0,17587,16509,272341,16,0.7587660,computed from de-duplicated per-call usage,Codex cumulative token_count events; cached input is a subset of input
GPT-5.6 Sol high / Codex,GPT-5.6 Sol,Codex,12 Crab Storage,failure,0.0,1841.6,1862.6,39684,1108541,0,67272,64499,1215497,46,2.7708505,computed from de-duplicated per-call usage,Codex cumulative token_count events; cached input is a subset of input
